,Player Name,Yards,TDS,Passer Rating,Team,Team Wins
0,Joe Burrow,4918,43,108.5,Cincinnati Bengals,9
1,Jared Goff,4629,37,111.8,Detroit Lions,15
2,Baker Mayfield,4500,41,106.8,Tampa Bay Buccaneers,10
3,Geno Smith,4320,21,93.2,Seattle Seahawks,10
4,Sam Darnold,4319,35,102.5,Minnesota Vikings,14
5,Lamar Jackson,4172,41,119.6,Baltimore Ravens,12
6,Patrick Mahomes,3928,26,93.5,Kansas City Chiefs,15
7,Aaron Rodgers,3897,28,90.5,New York Jets,5
8,Justin Herbert,3870,23,101.7,Los Angeles Chargers,11
9,Brock Purdy,3864,20,96.1,San Francisco 49ers,6
10,Kyler Murray,3851,21,93.5,Arizona Cardinals,8
11,Bo Nix,3775,29,93.3,Denver Broncos,10
12,Matthew Stafford,3762,20,93.6,Los Angeles Rams,10
13,Josh Allen,3731,28,101.4,Buffalo Bills,13
14,C.J. Stroud,3727,20,87.0,Houston Texans,10
15,Jayden Daniels,3568,25,100.1,Washington Commanders,12
16,Caleb Williams,3541,20,87.8,Chicago Bears,5
17,Kirk Cousins,3508,18,88.6,Atlanta Falcons,8
18,Jordan Love,3389,25,96.7,Green Bay Packers,11
19,Jalen Hurts,2903,18,103.7,Philadelphia Eagles,14
20,Tua Tagovailoa,2867,19,101.4,Miami Dolphins,8
21,Russell Wilson,2482,16,95.6,Pittsburgh Steelers,10
22,Bryce Young,2403,15,82.2,Carolina Panthers,5
23,Drake Maye,2276,15,88.1,New England Patriots,4
24,Derek Carr,2145,15,101.0,New Orleans Saints,5
25,Jameis Winston,2121,13,80.6,Cleveland Browns,3
26,Will Levis,2091,13,81.4,Tennessee Titans,3
27,Daniel Jones,2070,8,79.4,New York Giants,3
28,Trevor Lawrence,2045,11,85.2,Jacksonville Jaguars,4
29,Gardner Minshew,2013,9,81.0,Las Vegas Raiders,4
30,Dak Prescott,1978,11,86.0,Dallas Cowboys,7
31,Cooper Rush,1844,12,83.8,Dallas Cowboys,7
32,Anthony Richardson,1814,8,61.6,Indianapolis Colts,8
33,Joe Flacco,1761,12,90.5,Indianapolis Colts,8
34,Mac Jones,1672,8,80.5,Jacksonville Jaguars,4
35,Aidan O'Connell,1612,8,86.6,Las Vegas Raiders,4
36,Mason Rudolph,1530,9,80.1,Tennessee Titans,3
37,Spencer Rattler,1317,4,70.4,New Orleans Saints,5
38,Deshaun Watson,1148,5,79.0,Cleveland Browns,3
39,Justin Fields,1106,5,93.3,Pittsburgh Steelers,10
40,Drew Lock,1071,6,75.5,New York Giants,3
41,Andy Dalton,989,7,82.0,Carolina Panthers,5
42,Tyler Huntley,829,3,80.1,Baltimore Ravens,12
43,Jacoby Brissett,826,2,74.2,New England Patriots,4
44,Michael Penix Jr.,775,3,78.9,Atlanta Falcons,8
45,Malik Willis,550,3,124.8,Green Bay Packers,11
46,Desmond Ridder,458,2,73.6,Atlanta Falcons,8
47,Dorian Thompson-Robinson,440,0,39.5,Cleveland Browns,3
48,Marcus Mariota,364,4,131.2,Washington Commanders,12
49,Joshua Dobbs,361,2,87.3,Arizona Cardinals,8
